ID,Data and Time,6.Education Level,8.English Language Level,9.How frequently do you see advertisements while browsing online?,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Social media (e.g.， Facebook， Instagram， Twitter/X),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Video streaming (e.g.， YouTube， Twitch， Bilibili),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Shortvideo platform (e.g.， TikTok),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Search engines (e.g.， Google， Bing， Baidu),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Online shopping sites (e.g.， Amazon， Taobao),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):News and blog websites,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Other mobile apps and games,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Promotional emails,11.On a scale of 1 to 5， how acceptable do you find advertisements embedded within responses from AI chatbots (e.g.， ChatGPT， Google Gemini)?,12.Do you have any concerns about advertisements being included in AI chatbot responses? If so， please describe them.  (You may use any language， though English is encouraged),13.When do you expect advertisements will start appearing in the responses of AI chatbots like ChatGPT?,14.Do you have any additional comments or thoughts about the inclusion of advertisements in AI chatbot responses? (You may use any language， though English is encouraged)
48,26-Apr-2025 10:40:27,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,,A.1 – Not acceptable at all,有。会扰乱信息的客观性。,D.Within 2–3 years,no
47,25-Apr-2025 22:07:20,D.Master's Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,,A.1 – Not acceptable at all,无法分辨广告与ai想要传递的客观信息（如产品推荐）,A.They already appear,no
46,25-Apr-2025 21:50:14,C.Bachelor's Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),,,,,B.2 – Slightly acceptable,If the products recommended by AI are interspersed with advertisements， it will reduce my trust in the responses given by AI and raise doubts about the objectivity of its replies， making me feel that its responses are more likely to be driven by capital and interests.,D.Within 2–3 years,I hope that the products inserted by AI in advertisements have been strictly screened and evaluated by humans， and the recommended products are personalized based on the specific needs of users.
45,25-Apr-2025 21:50:10,C.Bachelor's Degree,D.Fluent,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),,E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,,C.3 – Moderately acceptable,no,A.They already appear,no
44,25-Apr-2025 21:43:07,C.Bachelor's Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,,B.2 – Slightly acceptable,I doubt the credibility of the advertisement.,G.Not sure,I don't want to have advertisements in AI.
43,25-Apr-2025 21:33:10,D.Master's Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),,,,,,B.2 – Slightly acceptable,No,F.I don’t think it will happen,No
42,25-Apr-2025 21:14:10,B.Associate Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,G.Other mobile apps and games,H.Promotional emails,B.2 – Slightly acceptable,我经常用ai来选择购买比如耳机这样需要精挑细选的产品，如果有了广告，我岂不是只能自己动脑选了？,F.I don’t think it will happen,了解到ai广告这件事让我开始反思我之前是不是太过相信ai了，尤其在一些生活决策上
41,25-Apr-2025 19:04:02,D.Master's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,,,E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,,C.3 – Moderately acceptable,This may affect people's perception of the reliability of the AI chatbot,B.Within the next 6 months,希望被推送的广告不要与我与AI最近聊的话题强相关
40,25-Apr-2025 18:58:54,D.Master's Degree,D.Fluent,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,,,,,A.1 – Not acceptable at all,我非常担心 会影响信息的准确性,G.Not sure,no ad
39,25-Apr-2025 18:54:18,D.Master's Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,,,,,B.2 – Slightly acceptable,我非常担心ai工具含有广告 因为会影响信息的准确,E.In more than 3 years,no ad
